OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
73.08,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2013,A,YR,NA
85,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2013,A,RANK,NA
72.85,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2012,A,YR,NA
83,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2012,A,RANK,NA
72.62,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2011,A,YR,NA
79,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2011,A,RANK,NA
72.39,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2010,A,YR,NA
77,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2010,A,RANK,NA
71,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2009,A,YR,NA
80,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2009,A,RANK,NA
71,602,0,NA,A,PU,NA,NA,NA,NA,FALSE,WEF_GCIHH,WEF_GCIHH_LIFEEXPECT,DZA,_T,_T,_T,_Z,_Z,_Z,2008,A,YR,NA
