STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,COMMENT_OBS,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ZAF,South Africa,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_EXP,Percentage of expenditure,IMF_SEC_SSF,Sector: Social security funds,_Z,Not Applicable,_Z,Not Applicable,2018,0.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ZAF,South Africa,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_EXP,Percentage of expenditure,IMF_SEC_SSF,Sector: Social security funds,_Z,Not Applicable,_Z,Not Applicable,2017,0.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ZAF,South Africa,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,IMF_SEC_EBG,Sector: Extrabudgetary central government,_Z,Not Applicable,_Z,Not Applicable,2018,0.0841906962087862,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,ZAF,South Africa,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_GDP,Percentage of GDP,IMF_SEC_EBG,Sector: Extrabudgetary central government,_Z,Not Applicable,_Z,Not Applicable,2017,0.081891819350631,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SOM,Somalia,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_EXP,Percentage of expenditure,IMF_SEC_CG_SSF,Sector: Central government (incl. social security funds),_Z,Not Applicable,_Z,Not Applicable,2017,0.483928464263628,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SOM,Somalia,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_GG,Sector: General government,_Z,Not Applicable,_Z,Not Applicable,2017,1821254.67,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SOM,Somalia,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_EXP,Percentage of expenditure,IMF_SEC_BCG,Sector: Budgetary central government,_Z,Not Applicable,_Z,Not Applicable,2017,0.483928464263628,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SOM,Somalia,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,PT_EXP,Percentage of expenditure,IMF_SEC_SG,Sector: State governments,_Z,Not Applicable,_Z,Not Applicable,2017,0.645633159197527,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,RATIO,Ratio,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SVN,Slovenia,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_LG,Sector: Local government,_Z,Not Applicable,_Z,Not Applicable,2019,527546000.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A,Annual,SVK,Slovak Republic,IMF_COFOG_GEL_GF07,Government expenditure on health,_T,Total,_T,All age ranges or no breakdown by age,_T,Total,XDC,Domestic currency,IMF_SEC_SSF,Sector: Social security funds,_Z,Not Applicable,_Z,Not Applicable,2019,5055139000.0,IMF_GFSCOFOG,"Government Finance Statistics (GFS), Expenditure by Function of Government (COFOG)",0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
