OBS_VALUE,TIME_FORMAT,UNIT_MULT,COMMENT_OBS,OBS_STATUS,OBS_CONF,AGG_METHOD,DECIMALS,COMMENT_TS,DATA_SOURCE,LATEST_DATA,DATABASE_ID,INDICATOR,REF_AREA,SEX,AGE,URBANISATION,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,FREQ,UNIT_MEASURE,UNIT_TYPE
7183.802643,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,UMC,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,NA
10759.345734,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,WLD,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,NA
637.087099,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,AFG,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,NA
4542.929036,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,ALB,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,NA
5979.60139,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,DZA,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,NA
11813.502203,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,ASM,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,NA
42470.316116,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,AND,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,NA
5688.579162,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,AGO,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,NA
15051.511359,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,ATG,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,NA
12963.675773,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,ARG,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,NA
3680.166922,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,ARM,_T,_T,_T,_Z,_Z,_Z,2013,A,USD,NA
5870.878238,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,GUY,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,NA
1318.402682,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,HTI,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,NA
2307.344684,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,HND,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,NA
43734.19807,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,HKG,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,NA
13215.860528,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,HUN,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,NA
62854.090641,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,ISL,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,NA
1707.508929,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IND,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,NA
3521.469435,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IDN,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,NA
5710.599471,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IRN,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,NA
4334.420964,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IRQ,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,NA
64129.557154,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,IRL,_T,_T,_T,_Z,_Z,_Z,2016,A,USD,NA
4002.013869,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,CPV,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
1088.981528,P1Y,0,NA,A,PU,_Z,2,NA,NA,FALSE,WB_WDI,WB_WDI_NY_GDP_PCAP_CD,KHM,_T,_T,_T,_Z,_Z,_Z,2011,A,USD,NA
