country_code,year,life_expectancy
TCD,2015,51.16
TCD,2016,51.56
TCD,2017,51.87
THA,2007,70
THA,2008,72
THA,2009,70
THA,2010,68.86
THA,2011,69.05
THA,2012,73.93
THA,2013,74.09
THA,2014,74.19
THA,2015,74.37
THA,2016,74.42
THA,2017,74.6
TJK,2007,63
TJK,2008,64
TJK,2009,67
TJK,2010,66.75
TJK,2011,67.01
TJK,2012,67.26
TJK,2014,67.26
TJK,2015,67.37
TJK,2016,69.6
TJK,2017,69.77
TLS,2007,63
TLS,2008,66
TLS,2009,61
TLS,2010,61.12
TLS,2011,61.58
TLS,2012,62
TLS,2013,62.46
TLS,2014,67.02
TTO,2007,70
TTO,2008,69
TTO,2009,69
TTO,2010,69.34
TTO,2011,69.57
TTO,2012,69.76
TTO,2013,69.96
TTO,2014,69.82
TTO,2015,69.93
TTO,2016,70.44
TTO,2017,70.56
TUN,2007,72
TUN,2008,72
TUN,2009,74
TUN,2010,74.3
TUN,2011,74.45
TUN,2013,74.75
TUN,2014,75.1
TUN,2015,73.65
TUN,2016,74.14
TUN,2017,74.98
TUR,2007,71
TUR,2008,73
TUR,2009,73
TUR,2010,71.89
TUR,2011,72.05
TUR,2012,73.7
TUR,2013,73.94
TUR,2014,74.86
TUR,2015,75.18
TUR,2016,75.16
TUR,2017,75.43
TWN,2007,77.42
TWN,2008,77.4
TWN,2009,78.54
TWN,2010,78.57
TWN,2011,79.01
TWN,2012,79.18
TWN,2013,79.15
TWN,2014,79.86
TWN,2015,80.02
TWN,2016,79.84
TWN,2017,80.1
TZA,2007,48
TZA,2008,50
TZA,2009,52
TZA,2010,55.65
TZA,2011,56.29
TZA,2012,57.39
TZA,2013,58.15
TZA,2014,60.85
TZA,2015,61.49
TZA,2016,64.94
TZA,2017,65.49
UGA,2007,49
UGA,2008,50
UGA,2009,48
UGA,2010,52.67
UGA,2011,53.41
UGA,2012,53.61
UGA,2013,54.07
UGA,2014,58.65
UGA,2015,59.19
UGA,2016,58.47
UGA,2017,59.18
UKR,2007,67
UKR,2008,67
UKR,2009,68
UKR,2010,68.25
UKR,2011,69.19
UKR,2012,70.28
UKR,2013,70.81
UKR,2014,70.94
UKR,2015,71.16
UKR,2016,71.19
UKR,2017,71.19
URY,2007,75
URY,2008,75
URY,2009,75
URY,2010,75.98
URY,2011,76.11
URY,2012,76.24
URY,2013,76.41
URY,2014,76.91
URY,2015,77.05
URY,2016,76.99
URY,2017,77.14
USA,2007,78
USA,2008,78
USA,2009,78
USA,2010,78.44
USA,2011,78.66
USA,2012,78.24
USA,2013,78.64
USA,2014,78.74
USA,2015,78.84
USA,2016,78.94
USA,2017,78.74
VEN,2007,75
VEN,2008,74
VEN,2009,75
VEN,2010,73.55
VEN,2011,73.74
VEN,2012,74.13
VEN,2013,74.31
VEN,2014,74.49
VEN,2015,74.64
VEN,2016,74.24
VEN,2017,74.41
VNM,2007,71
VNM,2008,72
VNM,2009,72
VNM,2010,74.37
VNM,2011,74.58
VNM,2012,74.83
VNM,2013,75.05
VNM,2014,75.61
VNM,2015,75.76
VNM,2016,75.63
VNM,2017,75.78
YEM,2011,63.38
YEM,2012,65.03
YEM,2013,65.45
YEM,2014,62.91
YEM,2016,63.82
YEM,2017,64.03
ZAF,2007,48
ZAF,2008,51
ZAF,2009,54
ZAF,2010,51.48
ZAF,2011,51.62
ZAF,2012,52.08
ZAF,2013,52.61
ZAF,2014,56.1
ZAF,2015,56.74
ZAF,2016,57.18
ZAF,2017,57.44
ZMB,2007,40
ZMB,2008,43
ZMB,2009,46
ZMB,2010,45.4
ZMB,2011,46.33
ZMB,2012,48.46
ZMB,2013,48.97
ZMB,2014,57.02
ZMB,2015,58.09
ZMB,2016,60.05
ZMB,2017,60.79
ZWE,2007,36
ZWE,2008,43
ZWE,2009,45
ZWE,2010,44.21
ZWE,2011,45.44
ZWE,2012,49.86
ZWE,2013,51.24
ZWE,2014,58.05
ZWE,2015,59.77
ZWE,2016,57.5
ZWE,2017,59.16
