country_code,country,year,health_expenditure_gdp
CZE,Czechia,2013,7.52845219165889
CZE,Czechia,2014,7.4954242710869
CZE,Czechia,2015,7.4898969498559
CZE,Czechia,2016,7.34752830356203
CZE,Czechia,2017,7.28874158580701
DEU,Germany,2007,6.24682364232836
DEU,Germany,2008,6.36762070989466
DEU,Germany,2009,6.99695775731802
DEU,Germany,2010,6.85427704257548
DEU,Germany,2011,6.67415141512696
DEU,Germany,2012,6.70448296302645
DEU,Germany,2013,6.91798498925811
DEU,Germany,2014,6.99270058321637
DEU,Germany,2015,7.04237356796785
DEU,Germany,2016,7.05091501856945
DEU,Germany,2017,6.98457871400224
DNK,Denmark,2007,7.64819200249664
DNK,Denmark,2008,7.85032609999
DNK,Denmark,2009,8.83315120292796
DNK,Denmark,2010,8.54080984237375
DNK,Denmark,2011,8.44194203833096
DNK,Denmark,2012,8.66325257351271
DNK,Denmark,2013,8.48670872865471
DNK,Denmark,2014,8.56351331288486
DNK,Denmark,2015,8.54996980601968
DNK,Denmark,2016,8.46149051092042
DNK,Denmark,2017,8.33603932062136
EGY,"Egypt, Arab Rep.",2007,1.33233033105348
EGY,"Egypt, Arab Rep.",2008,1.39783865738339
EGY,"Egypt, Arab Rep.",2009,1.44025449118549
EGY,"Egypt, Arab Rep.",2010,1.36689958417964
EGY,"Egypt, Arab Rep.",2011,1.40655506307914
EGY,"Egypt, Arab Rep.",2012,1.34304651579387
EGY,"Egypt, Arab Rep.",2013,1.71771930767577
EGY,"Egypt, Arab Rep.",2014,1.77141079812207
EGY,"Egypt, Arab Rep.",2015,1.63785343099145
ESP,Spain,2007,5.61969393950382
ESP,Spain,2008,5.98166268754377
ESP,Spain,2009,6.71864347816329
ESP,Spain,2010,6.51136515121995
ESP,Spain,2011,6.39681959233401
ESP,Spain,2012,6.15165880454348
ESP,Spain,2013,6.07753481267825
ESP,Spain,2014,6.02455142706622
ESP,Spain,2015,6.05514186173351
ESP,Spain,2016,5.96121749430197
ESP,Spain,2017,5.85096499588814
EST,Estonia,2007,4.40307861891361
EST,Estonia,2008,5.24943859167744
EST,Estonia,2009,5.92674777499303
EST,Estonia,2010,5.67164300599114
EST,Estonia,2011,5.21447437739893
EST,Estonia,2012,5.1889358728249
EST,Estonia,2013,5.16510003793724
EST,Estonia,2014,5.22253724175791
EST,Estonia,2015,5.57472815287691
EST,Estonia,2016,5.29497551935737
EST,Estonia,2017,5.14103189940176
FIN,Finland,2007,6.46542507697571
FIN,Finland,2008,6.70012611638741
FIN,Finland,2009,7.40755005584686
FIN,Finland,2010,7.32953126079631
FIN,Finland,2011,7.36371074455298
FIN,Finland,2012,7.71201321149838
FIN,Finland,2013,7.82934695895185
FIN,Finland,2014,7.81016641130611
FIN,Finland,2015,7.28812356600516
FIN,Finland,2016,7.17917597624105
FIN,Finland,2017,7.01190007998197
FRA,France,2007,7.46291259735443
FRA,France,2008,7.44908099860468
FRA,France,2009,7.95560058706212
FRA,France,2010,7.9786436952241
FRA,France,2011,7.93234837874064
FRA,France,2012,8.00443698882231
FRA,France,2013,8.05983402528824
FRA,France,2014,8.18903461541145
FRA,France,2015,8.07875795112153
FRA,France,2016,8.12517987994426
FRA,France,2017,8.11163995782769
GBR,United Kingdom,2007,6.52243860531633
GBR,United Kingdom,2008,6.8570532128514
GBR,United Kingdom,2009,7.69898282672672
GBR,United Kingdom,2010,7.58663220919671
GBR,United Kingdom,2011,7.37301439320578
GBR,United Kingdom,2012,7.3291066484217
GBR,United Kingdom,2013,7.34399147618029
GBR,United Kingdom,2014,7.4702794180339
GBR,United Kingdom,2015,7.5413877004943
GBR,United Kingdom,2016,7.5677643355116
GBR,United Kingdom,2017,7.41245302480405
GEO,Georgia,2007,1.4378276896307
GEO,Georgia,2008,1.5960837306545
GEO,Georgia,2009,1.96745426128528
GEO,Georgia,2010,2.05339819567341
GEO,Georgia,2011,1.52762278790201
GEO,Georgia,2012,1.49120752142132
GEO,Georgia,2013,1.82306602021496
GEO,Georgia,2014,2.21988255049689
GEO,Georgia,2015,2.67163271956407
GEO,Georgia,2016,2.90999742102607
GEO,Georgia,2017,2.79343616039249
GRC,Greece,2007,6.01174242977706
GRC,Greece,2008,6.45852066858851
GRC,Greece,2009,6.81333466928131
GRC,Greece,2010,6.91893773089897
GRC,Greece,2011,6.60524268081661
GRC,Greece,2012,6.02609822879851
GRC,Greece,2013,5.39735519033335
GRC,Greece,2014,4.7907874246767
GRC,Greece,2015,4.97990291939225
GRC,Greece,2016,5.33312855097763
GRC,Greece,2017,5.47473932100796
GTM,Guatemala,2014,2.20155355111829
GTM,Guatemala,2015,1.95190779740579
GTM,Guatemala,2016,2.15490640318424
GTM,Guatemala,2017,2.04629684445431
HKG,"Hong Kong SAR, China",2007,2.14834899888294
HKG,"Hong Kong SAR, China",2008,2.27691204857662
HKG,"Hong Kong SAR, China",2009,2.45280232877001
HKG,"Hong Kong SAR, China",2010,2.41413204288388
HKG,"Hong Kong SAR, China",2011,2.5084908732805
HKG,"Hong Kong SAR, China",2012,3.10707740914721
HKG,"Hong Kong SAR, China",2013,3.33600679042513
HKG,"Hong Kong SAR, China",2014,2.81517076289654
HKG,"Hong Kong SAR, China",2015,3.22731290758377
HKG,"Hong Kong SAR, China",2016,2.82663039157664
HKG,"Hong Kong SAR, China",2017,2.89516023207905
HRV,Croatia,2007,6.38357091698819
HRV,Croatia,2008,5.87800386349002
HRV,Croatia,2009,6.41891509433962
HRV,Croatia,2010,6.50416610337524
HRV,Croatia,2011,6.3477169405451
HRV,Croatia,2012,6.54468166051248
HRV,Croatia,2013,6.45839220842898
HRV,Croatia,2014,6.50418267083519
HRV,Croatia,2015,6.82802984165652
HRV,Croatia,2016,6.59301110248284
HRV,Croatia,2017,6.73920491014121
HUN,Hungary,2007,4.92976469722629
HUN,Hungary,2008,4.89041738948161
HUN,Hungary,2009,5.22110665238453
HUN,Hungary,2010,4.97015600420199
HUN,Hungary,2011,5.07291244206625
HUN,Hungary,2012,5.08586325080317
HUN,Hungary,2013,5.00905330384062
HUN,Hungary,2014,4.79181539405305
HUN,Hungary,2015,5.14574871887667
HUN,Hungary,2016,4.71575869482156
HUN,Hungary,2017,4.68344590903516
IDN,Indonesia,2008,1.14392444218916
IDN,Indonesia,2009,1.03071427086149
IDN,Indonesia,2010,0.818570956906415
IDN,Indonesia,2011,0.779141149728681
IDN,Indonesia,2012,0.804656194975118
IDN,Indonesia,2013,0.832287709349146
IDN,Indonesia,2014,0.816016108298138
IDN,Indonesia,2015,0.855433426243356
IDN,Indonesia,2016,1.53264472143598
IDN,Indonesia,2017,1.38718440983189
IRL,Ireland,2007,6.23123915360024
IRL,Ireland,2008,6.92033393313862
IRL,Ireland,2009,7.87821908919302
IRL,Ireland,2010,7.47037612311222
IRL,Ireland,2011,7.96151236148617
IRL,Ireland,2012,7.70529451714711
IRL,Ireland,2013,7.32462169171989
IRL,Ireland,2014,6.72688531802672
IRL,Ireland,2015,5.18458371124866
IRL,Ireland,2016,5.23053851144684
IRL,Ireland,2017,4.96532665168208
IRN,"Iran, Islamic Rep.",2007,1.73408832767512
IRN,"Iran, Islamic Rep.",2008,1.86353767348628
IRN,"Iran, Islamic Rep.",2009,1.96842285046921
ISL,Iceland,2007,7.4740880475245
ISL,Iceland,2008,7.4094726928083
ISL,Iceland,2009,7.71355650711772
ISL,Iceland,2010,7.22990476663486
ISL,Iceland,2011,7.03833076487321
ISL,Iceland,2012,7.10831306146206
ISL,Iceland,2013,7.08508174259045
ISL,Iceland,2014,7.2315444244929
ISL,Iceland,2015,7.13632000065556
ISL,Iceland,2016,7.29916449450912
ISL,Iceland,2017,7.53953694555075
ISR,Israel,2007,4.67449492329768
ISR,Israel,2008,4.76475198091466
ISR,Israel,2009,4.82444377967073
ISR,Israel,2010,4.90252650519099
ISR,Israel,2011,4.85368044532462
ISR,Israel,2012,4.90841299613736
ISR,Israel,2013,4.97339785805816
ISR,Israel,2014,5.05902917083637
ISR,Israel,2015,5.02559251564716
ISR,Israel,2016,5.11571158913211
ISR,Israel,2017,5.1898314203605604
ITA,Italy,2007,6.65191272937152
ITA,Italy,2008,6.98386219534008
ITA,Italy,2009,7.38851138937497
