country_code,country,year,health_expenditure_gdp,life_expectancy,gdp_per_capita,log_gdp_per_capita,region
BGR,Bulgaria,2017,4.85185142731608,74.47,8697.133733,9.07074879438312,Europe & Central Asia
BOL,Bolivia,2007,3.2624957968225,65,1354.549059,7.211223880138351,Latin America & Caribbean
CAN,Canada,2008,7.57120674744922,81,46710.365442,10.751721377100743,North America
CAN,Canada,2009,8.47980123894729,81,40874.961232,10.618272959746506,North America
CAN,Canada,2010,8.34291689074985,80.96,47560.837883,10.769764968038096,North America
CAN,Canada,2011,8.21949389621451,81.22,52224.123777,10.863299808438155,North America
CAN,Canada,2012,8.16215621598281,80.8,52670.142954,10.871804026618426,North America
CAN,Canada,2013,8.1110917772508,80.93,52637.731322,10.871188467084131,North America
CAN,Canada,2014,7.98702490052123,81.24,50960.894209,10.838813837364464,North America
CAN,Canada,2015,8.29087624300344,81.4,43594.237908,10.682680262530084,North America
CAN,Canada,2016,8.39546095229162,81.96,42314.103362,10.652875722277908,North America
CAN,Canada,2017,8.21931374761111,82.14,45129.733528,10.71729658826118,North America
CHE,Switzerland,2007,1.63947063757271,81,66082.123398,11.098653541425556,Europe & Central Asia
CHE,Switzerland,2008,1.73215887624101,82,75147.537671,11.22720862912203,Europe & Central Asia
CHE,Switzerland,2009,1.87051953419663,82,72788.204952,11.195309201168028,Europe & Central Asia
CHE,Switzerland,2010,1.82005641105027,82.16,77956.126204,11.263901462853838,Europe & Central Asia
CHE,Switzerland,2011,1.89172990660606,82.04,91910.396457,11.428569429877832,Europe & Central Asia
CHE,Switzerland,2012,2.02729697602124,82.25,87269.559478,11.376756992338956,Europe & Central Asia
CHE,Switzerland,2013,2.08813416659934,82.7,88851.23745,11.394718760891552,Europe & Central Asia
CHE,Switzerland,2014,2.08157965501424,82.7,90511.648456,11.413233833626304,Europe & Central Asia
CHE,Switzerland,2015,2.11358098319908,82.75,85265.062052,11.353520060501396,Europe & Central Asia
CHE,Switzerland,2016,2.1490048472779,82.85,83432.41116,11.331792135874052,Europe & Central Asia
CHE,Switzerland,2017,2.1025789394125,83.2,83610.248611,11.333921382599796,Europe & Central Asia
CHN,China,2007,0.765596874356706,72,2734.727099,7.913786928890425,East Asia & Pacific
CHN,China,2008,0.973632774206859,73,3523.443021,8.167193921499669,East Asia & Pacific
CHN,China,2009,1.2241230763407,74,3898.244592,8.268281626174865,East Asia & Pacific
CHN,China,2010,1.24942155249262,73.12,4629.245517,8.440149178510048,East Asia & Pacific
CHN,China,2011,0.90175915773448,73.31,5703.76028,8.64888093456302,East Asia & Pacific
CHN,China,2012,0.876369253427879,73.27,6405.057424,8.764843179786352,East Asia & Pacific
CHN,China,2013,0.881586341755873,73.49,7147.035186,8.874452890392414,East Asia & Pacific
CHN,China,2014,0.906263256731316,75.2,7781.065975,8.95944862256826,East Asia & Pacific
CHN,China,2015,2.7814326333447,75.35,8175.332851,9.008876710655246,East Asia & Pacific
CHN,China,2016,3.06549798736544,75.78,8254.868593,9.018558437753876,East Asia & Pacific
CHN,China,2017,3.1692594523296,75.99,8979.676527,9.102719139155251,East Asia & Pacific
CYP,Cyprus,2007,2.61485309653656,79,31244.878906,10.34961076672757,Europe & Central Asia
CYP,Cyprus,2008,2.69021967847824,80,35541.886719,10.47846718749709,Europe & Central Asia
CYP,Cyprus,2009,2.95627961768092,80,32236.462891,10.380853478784164,Europe & Central Asia
CYP,Cyprus,2010,2.95719644417039,79.66,31105.027344,10.345124736035697,Europe & Central Asia
CYP,Cyprus,2011,3.05618362280379,79.77,32485.804688,10.388558494071402,Europe & Central Asia
CYP,Cyprus,2012,2.97764076469713,79.38,28991.929688,10.274772783619014,Europe & Central Asia
CYP,Cyprus,2013,3.08309728773912,79.56,27764.726563,10.231521665365012,Europe & Central Asia
CYP,Cyprus,2014,2.66547692589288,79.64,26993.095703,10.203336397582182,Europe & Central Asia
CYP,Cyprus,2015,2.53901025412394,79.8,23088.429688,10.047086891720582,Europe & Central Asia
CYP,Cyprus,2016,2.49714679415369,80.13,24280.044922,10.097410095336468,Europe & Central Asia
CYP,Cyprus,2017,2.49257838846413,80.31,26247.464844,10.175324685984446,Europe & Central Asia
CZE,Czechia,2007,6.75294408666221,76,18452.653281,9.822963448397404,Europe & Central Asia
CZE,Czechia,2008,6.91667054689412,77,22774.704508,10.033405747642234,Europe & Central Asia
CZE,Czechia,2009,7.78511242540562,77,19817.421584,9.894316707796708,Europe & Central Asia
