country_code,country,year,life_expectancy,health_expenditure_gdp
AUS,Australia,2014,82.1,3.951197685689
AUS,Australia,2014,82.1,6.71301403311329
AUS,Australia,2014,82.1,3.951197685689
AUS,Australia,2014,82.1,3.951197685689
AUS,Australia,2015,82.2,0.0267329415757055
AUS,Australia,2015,82.2,6.81043048580713
AUS,Australia,2015,82.2,4.01372535137339
AUS,Australia,2015,82.2,4.01372535137339
AUS,Australia,2015,82.2,4.01372535137339
AUS,Australia,2015,82.2,3.93731064166384
AUS,Australia,2016,82.25,0.0257280538817275
AUS,Australia,2016,82.25,4.06391390227461
AUS,Australia,2016,82.25,4.09611812532565
AUS,Australia,2016,82.25,6.96535543865743
AUS,Australia,2016,82.25,4.06391390227461
AUS,Australia,2016,82.25,4.06391390227461
AUS,Australia,2017,82.45,4.23016558371645
AUS,Australia,2017,82.45,7.1408116465801
AUS,Australia,2017,82.45,4.15085899744043
AUS,Australia,2017,82.45,0.0249185844912058
AUS,Australia,2017,82.45,4.15085899744043
AUS,Australia,2017,82.45,4.15085899744043
AUT,Austria,2007,79,7.36070399819704
AUT,Austria,2007,79,1.65222305953278
AUT,Austria,2007,79,2.29195219347978
AUT,Austria,2007,79,1.11168118657079
AUT,Austria,2007,79,4.62994316461134
AUT,Austria,2008,80,1.20728045400033
AUT,Austria,2008,80,7.51263182870209
AUT,Austria,2008,80,2.3733302378559
AUT,Austria,2008,80,4.6653224941696
AUT,Austria,2008,80,1.6815897500663
AUT,Austria,2009,80,1.25848437791297
AUT,Austria,2009,80,7.84056330263317
AUT,Austria,2009,80,2.4948888034853
AUT,Austria,2009,80,1.80318569274635
AUT,Austria,2009,80,4.84099483377719
AUT,Austria,2010,80.45,4.78634428378021
AUT,Austria,2010,80.45,1.33093452239735
AUT,Austria,2010,80.45,2.50049848494373
AUT,Austria,2010,80.45,7.86599440480222
AUT,Austria,2010,80.45,1.84319792792482
AUT,Austria,2011,80.08,2.42146967419322
AUT,Austria,2011,80.08,1.81801678400509
AUT,Austria,2011,80.08,4.69850894112958
AUT,Austria,2011,80.08,1.2875175008045
AUT,Austria,2011,80.08,7.65148715726315
AUT,Austria,2012,80.38,2.54803421024305
AUT,Austria,2012,80.38,4.77009638381048
AUT,Austria,2012,80.38,1.34520266710099
AUT,Austria,2012,80.38,7.68489307023845
AUT,Austria,2012,80.38,1.82374814492625
AUT,Austria,2013,81.03,1.30045611407112
AUT,Austria,2013,81.03,1.88906987183485
AUT,Austria,2013,81.03,7.77833177220106
AUT,Austria,2013,81.03,4.82704774347952
AUT,Austria,2013,81.03,2.5666928673441
AUT,Austria,2014,80.94,1.24339741632875
AUT,Austria,2014,80.94,4.85803375756162
AUT,Austria,2014,80.94,2.68298503269286
AUT,Austria,2014,80.94,1.89854841464451
AUT,Austria,2014,80.94,7.91880499276444
AUT,Austria,2015,80.89,8.20141673974415
AUT,Austria,2015,80.89,1.43462109459078
AUT,Austria,2015,80.89,4.91150677681687
AUT,Austria,2015,80.89,2.72934879758375
AUT,Austria,2015,80.89,1.94781236665599
AUT,Austria,2016,81.34,4.84518802711349
AUT,Austria,2016,81.34,1.46042873761213
AUT,Austria,2016,81.34,2.78540748529116
AUT,Austria,2016,81.34,8.1720123710879
AUT,Austria,2016,81.34,1.85610500883649
AUT,Austria,2017,81.84,4.90424294011996
